long,short,spec,is.save,is.series,requires
series.header,hdr,series,FALSE,FALSE,
series.outlieradjorig,a19,series,TRUE,TRUE,
series.savefile,sav,series,FALSE,FALSE,
series.seriesmvadj,mv,series,TRUE,TRUE,
series.seriesplot,a1p,series,FALSE,FALSE,
series.span,a1,series,TRUE,TRUE,
series.specfile,spc,series,TRUE,FALSE,
slidingspans.chngspans,chs,slidingspans,TRUE,TRUE,
slidingspans.factormeans,fmn,slidingspans,FALSE,FALSE,
slidingspans.header,hdr,slidingspans,FALSE,FALSE,
slidingspans.indchngspans,cis,slidingspans,TRUE,TRUE,
slidingspans.indfactormeans,fmi,slidingspans,FALSE,FALSE,
slidingspans.indpercent,pci,slidingspans,FALSE,FALSE,
slidingspans.indsaspans,ais,slidingspans,TRUE,TRUE,
slidingspans.indsfspans,sis,slidingspans,TRUE,TRUE,
slidingspans.indsummary,smi,slidingspans,FALSE,FALSE,
slidingspans.indychngspans,yis,slidingspans,TRUE,TRUE,
slidingspans.indyypercent,piy,slidingspans,FALSE,FALSE,
slidingspans.indyysummary,siy,slidingspans,FALSE,FALSE,
slidingspans.percent,pct,slidingspans,FALSE,FALSE,
slidingspans.saspans,ads,slidingspans,TRUE,FALSE,
slidingspans.sfspans,sfs,slidingspans,TRUE,TRUE,
slidingspans.ssftest,ssf,slidingspans,FALSE,FALSE,
slidingspans.summary,sum,slidingspans,FALSE,FALSE,
slidingspans.tdspans,tds,slidingspans,TRUE,TRUE,
slidingspans.ychngspans,ycs,slidingspans,TRUE,TRUE,
slidingspans.yypercent,pcy,slidingspans,FALSE,FALSE,
slidingspans.yysummary,suy,slidingspans,FALSE,FALSE,
spectrum.npsa,npa,spectrum,FALSE,FALSE,
spectrum.npsaind,npi,spectrum,FALSE,FALSE,
spectrum.qcheck,qch,spectrum,FALSE,FALSE,
spectrum.qs,qs,spectrum,FALSE,FALSE,
spectrum.qsind,qsi,spectrum,FALSE,FALSE,
spectrum.speccomposite,is0,spectrum,TRUE,TRUE,
spectrum.specextresiduals,ser,spectrum,TRUE,TRUE,
spectrum.specindirr,is2,spectrum,TRUE,TRUE,
spectrum.specindsa,is1,spectrum,TRUE,TRUE,
